timestamp,0V8_AON_A_current_A,0V8_SW_A_current_A,1V1_SYS_A_current_A,1V8_SYS_A_current_A,3V3_ADC_A_current_A,3V3_DAC_A_current_A,3V3_SYS_A_current_A,3V7_WL_SW_A_current_A,DDR_VDD2_A_current_A,DDR_VDDQ_A_current_A,HDMI_A_current_A,VDD_CORE_A_current_A,0V8_AON_V_voltage_V,0V8_SW_V_voltage_V,1V1_SYS_V_voltage_V,1V8_SYS_V_voltage_V,3V3_ADC_V_voltage_V,3V3_DAC_V_voltage_V,3V3_SYS_V_voltage_V,3V7_WL_SW_V_voltage_V,BATT_V_voltage_V,DDR_VDD2_V_voltage_V,DDR_VDDQ_V_voltage_V,EXT5V_V_voltage_V,HDMI_V_voltage_V,VDD_CORE_V_voltage_V
2025-08-19T12:22:54.576588,0.00506715,0.6099563,0.3474311,0.2742363,6.105e-05,0.0,0.1600525,0.0,0.3083939,0.071079,0.0101343,5.06331,0.8011714,0.8018308,1.107325,1.809034,3.313183,3.316846,3.312817,3.733183,0.0,1.111354,0.6003657,5.21126,5.20456,0.8791933
2025-08-19T12:22:55.708840,0.00506715,0.683151,0.3474311,0.2859475,0.00018315,0.0,0.1785952,0.00097593,0.2693567,0.0666672,0.0112332,6.23314,0.8002922,0.8025633,1.108058,1.808545,3.315015,3.315931,3.319313,3.740607,0.0,1.104394,0.6018309,5.19786,5.19652,0.8789246
2025-08-19T12:22:56.743719,0.00518925,0.6880306,0.3464552,0.2849716,0.00018315,0.0,0.1571247,0.00097593,0.3005864,0.0764712,0.0105006,6.04561,0.8011714,0.8025633,1.106959,1.808545,3.313183,3.315931,3.313745,3.722976,0.0,1.105127,0.6036624,5.20188,5.19786,0.8791933
2025-08-19T12:22:57.772442,0.00482295,0.6216674,0.3464552,0.279116,6.105e-05,0.0,0.1571247,0.00195186,0.3015624,0.0779418,0.010989,6.0724,0.8008783,0.8014644,1.106226,1.809522,3.312268,3.315931,3.319313,3.724831,0.0,1.110622,0.6036624,5.20188,5.20992,0.8775815
2025-08-19T12:22:58.805939,0.0058608,0.6733917,0.3454792,0.2781401,6.105e-05,0.0,0.1649322,0.00292779,0.3327921,0.075981,0.0107448,6.35816,0.8017574,0.8014644,1.107325,1.806592,3.314099,3.314099,3.331376,3.741535,0.0,1.102929,0.6032961,5.20322,5.19786,0.8789246
2025-08-19T12:22:59.840759,0.00482295,0.6870547,0.3474311,0.2771641,0.00018315,0.0,0.1707878,0.00390372,0.2986346,0.0740202,0.0107448,6.90289,0.8008783,0.802197,1.106226,1.806592,3.314099,3.315015,3.308177,3.741535,0.0,1.104394,0.6003657,5.19786,5.22332,0.8778502
2025-08-19T12:23:00.867380,0.00506715,0.683151,0.3659738,0.2820438,6.105e-05,0.0,0.1620044,0.00487965,0.1366302,0.0093138,0.0108669,5.32228,0.8011714,0.8014644,1.10586,1.809522,3.313183,3.316846,3.319313,3.724831,0.0,1.105127,0.6032961,5.22064,5.21394,0.8789246
2025-08-19T12:23:01.895970,0.0053724,0.5621357,0.3669497,0.2752123,0.00018315,0.0,0.1649322,0.00292779,0.1376061,0.0,0.010989,4.59895,0.8014645,0.8032959,1.107325,1.806592,3.314099,3.315931,3.310033,3.722976,0.0,1.107325,0.6014646,5.21394,5.20992,0.8778502
2025-08-19T12:23:02.925824,0.00506715,0.6636324,0.3464552,0.2888753,0.00018315,0.0,0.1561488,0.00292779,0.2713085,0.07892221,0.0106227,6.06347,0.8014645,0.8018308,1.106959,1.809522,3.314099,3.315015,3.307249,3.748958,0.0,1.102929,0.6021972,5.207239,5.1992,0.8775815
2025-08-19T12:23:03.958712,0.0058608,0.6909585,0.3474311,0.2761882,0.00018315,0.0,0.1610285,0.00390372,0.2878993,0.0803928,0.0107448,6.4296,0.8005854,0.8018308,1.106592,1.807568,3.315015,3.315015,3.327664,3.740607,0.0,1.107325,0.6040287,5.20054,5.2059,0.8783874
